Review,date,Author,Location
"Having spent 2 weeks travelling around Sri Lanka, Ella and Sigiriya had their own charms. Sigirya has alot more wildlife to offer. Many will also argue that 5000 rupees to climb the Lion's Rock is too expensive; which it is. However, if you are coming to Sigiriya then climbing the 2 large rocks is something that just has to be done! There are many steps but it is more straightforward than Pidurangala rock - just be aware that their are monkeys nearer to the top who will want to get into your backpacks!",2019/04/16,Hamsta666,
"We climbed the rock and where not let down, it’s best to have a guide so they can show you things and explain the history. We left our hotel at 6.10am to get to the rock as early as possible ! This was for two reasons to miss the majority of the other tourists and also to do it at the coolest time , I can highly recommend this as it a tough ascent and it gets hot an sweaty. The pain was well worth the it the view was stunning",2019/04/16,Samsam802,"Borehamwood, United Kingdom"
"A steep climb up narrow steps following a steady line of visitors of all ages and ability - so thankful for the metal hand railing. At the top, a cool breeze, the ruins of a 5th-century palace and city, and a panoramic view of the plateau below. Largely the ruins are just foundations, there are a few standing walls. There are no services once you are inside the site so make sure you bring some drinking water; there isnt' any shade and the sun was hot (February). If you are bothered by heights you might find the ascent challenging. Monkeys lounge on the walls, scanning for signs of food, if you bring any food be careful; we saw a lady who was bitten trying to hold onto her snack from a thieving monkey.",2019/04/16,Nancy_Ottawa,"Ottawa, Canada"
"For me, in my opinion, I don’t think it was that great. There’s nothing up there and the way to go was a single track which you have to stucked with a lot of people. I prefer Pidurangala Rock but if you visit Sigiriya, go both rocks!",2019/04/16,Jyblada,"Bangkok, Thailand"
"This is a fortress and ancient city which if you are there in Sigiriya, do visit. Be prepared for a little hike, with lots of stairs to climb, spiralling stairs, steep stairs, tiny stairs etc. But it's worth the walk and a little activity. Don't miss out the heritage site...",2019/04/16,JaniJermans,"Bengaluru, India"
We visited Sigiriya early morning - I think this was a wise choice by our guide due to the heat - Sigiriya is stunning and worth a visit but if you don’t like heights / small staircases on the side of a massive rock then this is not for you. The view from the top is amazing but getting there is hard work - we visited with children aged 6 and 10 and they loved the views but they had plenty of of questions of how / why / when etc and lucky for us the guide had the answers. Well worth the climb but before you head up there is 1200 steps so make sure you have plenty of water as there’s no Starbucks at the top.,2019/04/16,dannyrcollins,essex
"Sigiriya Lion's Rock is one of the best and famous attraction in Sri Lanka. If you are young and fit you should do this activity. It was so fun to Climb, There was so much to learn about history and technology used here. It was rainy day but it was not a big issue for us. It was fun, we enjoyed the rain. It's worth climb to see beautiful view from top of the Sigiriya. AMAZING!",2019/04/16,Srilanka_Travel,"Colombo, Sri Lanka"
"I truly enjoyed climbing Sigiriya Rock. Got there early, and we were on our way at about 6:40 am. It’s hot here in April, so there was some serious sweating involved, but it’s not a huge hike really. Bring some water. Also we had our guide / driver with us who always has all the important stories to explain a place - really a great value add, considering there is just some rubble. I thought the entrance fee for a family of four, in excess of USD 100, quite steep, but I am glad we did it.",2019/04/16,europhile68,"Melbourne, Australia"
"The earlier the better to beat the heat and the crowd. The entrance fee is 5310 rupee for foreigners, which is kind of pricy. It also includes Sigiriya museum that is in the same building of the ticket counter. There are two places for pure drinking water: one at the beginning of the path and the other at the lion rock entrance before getting to the final summit. The view is breathtaking and there are plenty of places to take picturesque photos. Towards the lion paw there are monkeys, so don't be alarmed. Yet it's preferable not to get too close to them as some may snatch something and run. People of different ages were climbing which was admirable. I spent around 3 hours between climbing and resting at the summit. Do not miss the viewpoint which is at the right side of the entrance path. It has an amazing view of the rock.",2019/04/16,Romaica,"Alexandria, Egypt"
"A big respect to my wife, she had fractured her ankle not long before we travelled but she made it to the top. What a climb !!!! If you are contemplating going make sure you go early in the morning otherwise the crowds are enormous, and take a bottle of water. Boots are not needed but trainers will suffice. Take your camera, excellent views from the top. Well worth a visit.",2019/04/16,Vacationer795761,
My daughter and I visited the rock at 630 in the morning. The weather is perfect for walking the rock at this time. I visited the museum and walked in small area before going into the rock area. Not sure you need to buy a $30 ticket to do this. Certainly you have to obtain ticket for the climb.,2019/04/16,747diannep,"London, United Kingdom"
"It's not just a climb up the rock but has an interesting history behind it. The climb it self was exhausting but with the short stops it helped us gain some breath. Once you reach the top, you totally forget the climb the views are just incredible. Would recommend this to everyone with a healthy heart.",2019/04/16,brosie45,United Arab Emirates
"Sigiriya rock is by far the best thing I've seen in Sri Lanka. It has been declared as the 8th wonder of the world by UNESCO and has a rich history associated with it. Tips1. The ticket fare is $30, but if you hold a South Asian Passport you can avail a 50 percent discount. For this however , one must carry the passport, without which there's no way you can avail the discount.2. The ticket counter is open till 5 pm. There are various reasons due to which you may not be able to visit the site, such as bad weather, wasps attack etc. The management however won't refund the ticket and won't allow you to go the next day, even if they disallow your entry. (Which in my opinion is highly unfair)3. Best time to go is after 4. The weather is beautiful and you may witness the sunset",2019/04/16,596nehas,"Pune, India"
"A mix of Ramayana and Buddhism. That would best describe this place. This is one of the places, where Lord Buddha actually visited. This is a world heritage site. The climb is a must to the top and the view is breathtaking. almost every stone has a story and ensure that you have a good guide to appreciate the relevance to Ramayana. The place has some interesting sign boards (see photo attached). Don't let it deter you. It is worth the climb",2019/04/16,scenthill,"chennai, Tamil Nadu, India"
"There are many steps to climb just to get to the Lions Paw the a steep stairs to the top. A good level of fitness is required to get to the top. A Hat sunscreen and plenty of water is essential. The site at the top is surprisingly large. Care needs to be taken because of uneven ground and steps. A very interesting site for those able to get there. Views are wonderful. Watch out for unauthorised guides, There are no facilities once in the site so be prepared.",2019/04/16,Ian M,"Mildura, Australia"
"It’s a must to do whilst in Sri Lanka. We stayed a stone throw away, so saw it each day at breakfast. It was a challenging hike to the top but worth the effort, even though it was hot at the top... it’s advisable to take a hat and wear sun screen. We had an amazing tour guide, so he informed us of the history and information throughout, which was helpful. Watch out for those cheeky monkeys along the way!",2019/04/16,Kittycoocat,
"Go VERY early, it opens at 6 30 and you want to be one of he first up Less people and a more comfortable climb. A reasonable level of fitness and a good head for heights essential in parts.",2019/04/16,HamiltonUkLynn,hamilton uk
"We had a couple of great days in this place, seen a high number of birds
Getting there can be a bit of a challenge and the walks are somewhat difficult, but its we'll worth it
Our guides were fantastic and went out of their...More",2019/04/16,Tony W,"Darwin, Australia"
"A group of us (eight birdwatchers), plus a couple birding guides (and also a local guide for inside the reserve), spent 2 1/2 days birding in the Sinharaja Rainforest Reserve and along various roads in the near vicinity.  The reserve entry fees were taken care...More",2019/04/16,MichaelFleming01,"Seattle, Washington"
"No clear information available for entrance fees. After some discussion the entry fee was Rp 650 per head. We asked for entry tickets but never got them. Guide is compulsory and fees are per head, not per group.* Tour is on foot only. We haggled...More",2019/04/16,lovethisplanet2014,"Palmerston, Australia"
"Virgin fresh and clean countryside, which looks more like in New Zealand than in polluted Asia. Forests, meadows, bushes, streams and fabulous views. The usual route is from the NP entrance to Little World’s End, World’s End, Baker’s Falls and back - all together 9 km or 3-4 hours. Start early morning, ideally at 7-8am, there might be some mist later (and too hot). Foreigners pay ca 2800 LKR, locals 60 LKR. Definitely don’t miss this trip, it was probably our best experience in Sri Lanka.",2019/04/16,Advisor_Miro,"Bangkok, Thailand"
hotels in nuwara eliya start at 5 o clock in the morning you can be at the ticket office at 6 o clock.6.30 you can enter to the park 4kilometers upward and 4kms back walking distance and not allowed for cars or jeeps.make sure to bring water bottles and foods to eat.dont litter anywhere and dont feed foods to animals and smoking is prohibited.,2019/04/16,pearlislandtourssl,"Negombo, Sri Lanka"
Very good and very good time pass with hiking time really like it to enjoy again but early morning is too much very good place,2019/04/16,Stephan C,
"Horton Plains were an unexpected pleasure. In many ways they reminded of parts of the UK, say Exmoor: moorland with bracken and rhododendron. The standard 9Km circuit is mostly very easy walking though one section is quite a scramble. Sensible shoes are needed. It is popular. The main sights were a little disappointing. But overall it is a very pleasant place",2019/04/16,301lisa33,"Coventry, United Kingdom"
"A 5:00am departure from Nuwara Eliya to then hurtle through the dark with eager drivers overtaking at high speeds. Our hotel packed us a breakfast which we ate after driving but before entering the park. All disposable plastics are confiscated at the entrance apart from water bottles which have their labels removed - so be prepared. The hike itself is definitely challenging in parts around the falls, but the remaining 90% of it is easy to moderate. Our children of 11 & 8 made it around with only an average level of bickering and complaints. We saw a nice sunrise and elk on the way in but no other wildlife after that.",2019/04/16,daddydoma,"Werribee, Australia"
"You could walk door hours here, as you as you apply sun cream!
There is a mixture of sandy beaches and vegetation to get some shade.
The rocks are easily climbed for even better views.
Just while away an hour absorbing the ambience.",2019/04/16,susie101,Nottingham
This beach just goes on forever and ever and it is a lovely sandy beach backed by palm trees. The sea is lovely and warm and very lively but safe.,2019/04/16,Julie Ann W,York
"Bentota is a resort town on Sri Lanka’s southwest coast. Its long Bentota Beach stretches north, where it becomes a sandy strip known as Paradise Island, parallel to Bentota Lagoon. Coral-rich dive sites include Canoe Rock",2019/04/16,938rubya,"National Capital Territory of Delhi, India"
"One of the amazing beaches. Crystal water, white smoothy sands. You can see the sunrise and sunset from the beach side. It’s safes beach you can swim anything early morning , morning, afternoon , evening or even midnight. People is very kind, helpful and easygoing .",2019/04/16,RahalDibba,"Dibba Al Bay Ah, Oman"
Lovely beach. Plenty going on in the sea. Water sports etc. Sand lovely yellow colour. Walk for miles. No real sellers/ hassle. Clean.,2019/04/16,Sallyhatesflying,"West Malling, United Kingdom"
"Very clean beach , not very crowded , we stayed at Mount Lavinia hotel which connects to this beach.",2019/04/16,829keshavc,
"Clean and tidy. Peaceful beach. Look out for lifesaving warning signs. There are rocky areas on one side. 
Beautiful beach",2019/04/16,rudrakumar2018,"Chennai, India"
"Had a great time at Mount Lavinia hotel. The beach area is good but you have to be very careful if you venture into the sea, the morning time is best as the currents are not too strong but in the afternoon, even as a...More",2019/04/16,Kenneth H,"Doha, Qatar"
Good location to go in an evening to lay-off stress. Have lots of restaurants with different food varieties.,2019/04/16,TharinduJ11,"Colombo, Sri Lanka"
"4 leopards, heaps of spp. of birds, 2 elephants, spotted deer, boas, water boffalo, monitor lizard, mongoose, 2 spp of monkeys, and prob forgot to mention some. If you're into nature you need to visit this place. The only downside is that the bufferzone, or so-called intermediate zone, have a lot of waste and seems to need better management! Stay at Big Game Camp Yala if you want to have the most authentic experience and increase species list with small crittersSincerely a biologist",2019/04/16,OH1986,Copehengen
"Had nice time with family members .. no hesitate to recommend. Leopards, elephants,....    safari vehicles are avalable there..",2019/04/16,thenukarw,"Colombo, Sri Lanka"
"First Safari we ever experienced and we loved it! We highly recommend that you get a private jeep, we booked through MINDFUL TRAVELS. A private jeep allows you to move around a lot easier, and let's be honest, who doesn't want the whole jeep to themselves?! Make sure to pack yourself a lunch with numerous snacks, especially if you’re doing an all-day safari. There aren’t any places to purchase food & water once you’re inside the park. We did the full day safari and also would recommend doing so because your chances of seeing wildlife increases! We were so lucky to have seen leopards almost immediately after entering the park. We saw so many animals throughout the entire day. Very satisfied with the safari! Remember to always be mindful with the animals! Bring binoculars, extra batteries for your camera, and lots of water!",2019/04/16,yulneveroamalone,"Montreal, Canada"
"Now a safari always has an element of luck but a good knowledgeable guide can help a lot. We went in at the katharagama gate, and I wonder if this area of the Park is quieter than some othersWe saw a range of beautiful birdlife, buffalo, elephants, crocs and a superb leopard sighting. Of course, as with such safaris, there were a number of jeeps with us for much of the time but they (mostly) behaved with consideration for both the wildlife and fellow visitors",2019/04/16,301lisa33,"Coventry, United Kingdom"
I've been in Sri Lanka last February and I have visited Yala National Park.Yala was a kind of race of jeeps with hundreds of smelly jeeps looking for animals that are frightened about all the noise and they are going to hide. That's why I have seen just a few animals and no single elephant. So Yala and tourism is a kind of disaster!!!!,2019/04/16,Anabelle123456,Switzerland
"Picked up at hotel, short drive to park. Excellent driver pointing out all sorts and trying to avoid pot holes ! We saw what we wanted to see.... Leopard roaming free. What a sight, no cage, no fence, nothing. Came to the water hole and posed. Make sure you have a good camera for this , not good enough on a phone. Elephants, crocs , buffalo, birds of all sorts. Brill , nothing more to say.",2019/04/16,Vacationer795761,
"me and my husband did the half day safari last year and it was amazing.really amazing,what a safari and memories I never forget. saw many animals in the park. Leopards, elephants, mongoose, monkeys,deer, buffalo, variety of birds.......We were lucky as we saw two leopards,one of them came near our jeepWe saw elephants bathing and playing in muddy water.baby elephants are so playfulinside park there were very bumpy roads,lots of funthere were lots of jeeps,Some jeeps chased away wild animals.i'm not interested,it is too dangerous,but we were lucky we hired a good jeep Fine that was a amazing experience in my life,never forget,our round trip driver helped lot in each step,to get good jeep,with calm driver,any reccommendation for safari lover/round trip driver -umeshawijayasiri1996@gmail.com",2019/04/16,umesha1996,"Colombo, Sri Lanka"
"Yala National Park was an amazing stop on our visit. The wildlife and scenery were incredible. With that, as a tourist you will need to ask your driver to be responsible when you are visiting the park. The drivers are aggressive, and from my observations and experience do not take concern regarding the animals. They are desperate to get as close as possible so the tourist can get their precious shot on instagram. There were times when the elephants displayed stressed behavior towards the vehicles yet the drivers just kept pushing. That was irresponsible and wrong. I am shocked that the park does not have more regulations and monitor this more closely. On our second trip to the park we told our driver we did not want to be around other cars and wanted to respect the animals during our visit. He was amazing and took us to some remote and beautiful locations in the park where we saw lots of comfortable animals enjoying their habitat. If we had not gone the second day I probably would have rated the park 'Poor' because our first day was so bad.",2019/04/16,K8errm24,"Dubai, United Arab Emirates"
"First the caveat - I really enjoyed the trip - seriously did. I knocked the star off because the number of ‘jeeps’ allowed into the park may well be limited but they are all in touch with each other and tend to congregate at the good stuff.There are basically two opportunities to visit Yala. First thing (6am) and in the late afternoon. This is largely because the animals sleep during the heat of the day.We only did the 6am gig and saw lots of elephants, crocodiles, wild pigs and water buffaloes. Plus a wide array of wading birds and a plethora of other birds, enough to make any bird watcher happy - my fave was the spoonbill. So if you want a safari where you see real stuff - tick!The selling point of Yala is the leopards - however our Gide was very cagey about the prospects of seeing one (although the odds seem higher in the evenings as the game comes down to the watering holes).As it happens we did see one! The only problem is the photos I took show that their camouflage is very, very good!All of the jeeps seem pretty much the same. 6 seaters on the back of a pickup truck. Good visibility and open so not too hot. If you are offered anything else, turn it down.The driver we had seemed very knowledgeable and positioned the vehicle in the best aspect for us. His driving was OK until the call came though that a leopard had been sighted - he then drove like a man possessed until he joined the massed ranks of every other vehicle in the park in a huge traffic jam trying to get near to the sleeping leopard in the tree. An hour later we emerged from the scrum feeling a bit miffed in truth.So, do visit Yala. Just be ready for the possibility of traffic chaos...",2019/04/16,AndrewJ990,"Nottingham, United Kingdom"
"It is well worth visiting the national park, although you are just as likely to see as many animals in the areas just outside the national park. We actually saw as many animals just sitting by the pool at our hotel including an elephant something we did not see in the park. As with every safari it is always a matter of luck if you see the more elusive animals. We did not see a leopard or bear but other people did.We went on the Jeep safari first thing, so we were up before it was light, and at the park entrance with roughly another 100 or so jeeps for the 6am opening of the park. Was a convoy to start, but surprisingly the Jeeps dispersed quite quickly across the park, so your jeep was often alone, although you do still come across other jeeps especially if something is spotted, when groups of jeeps can congregate.Personally don’t have a problem with the number of jeeps as they create employment for locals, which in turn makes them interested in looking after the park. Indeed national park has got it right as only part of the park is open to tourists, and most of the park has strict access, meaning animals are free to go to quieter areas if they wish.If I visited again I probably would not have bothered to go first thing, as people who visited later in the day saw more or just as much. It is hotter, but as the jeeps are covered and you get a breeze when the jeep is moving it is ok. You also get the advantage that park is quieter as all the jeeps which came in at 6am have left. 9am or 10am seem ideal.Sadly as is the case worldwide one of the reasons the park exists is because the land is of little value to humans as it is so dry. Shame that we push animals into the more extreme environments rather than allowing them space in the more prime land",2019/04/16,needdm,"Chesterfield, England"
"The UNESCO listed Galle Fort was on the list of places to visit. The walls of the fort are in tact and provide an amazing view of the sea. The surrounding area is. It well maintained and is very hot. I would suggest sunscreen, a hat and plenty of water. Try visiting in the evening near sunset fir great views or bring swimmers for a dip near the lighthouse",2019/04/16,mrandmrsbeas,"Sydney, Australia"
visit to galle fort with Mr.Magesh was amazing . nice place and the hospitality of the people was excellent.,2019/04/16,tputours_neg,"Negombo, Sri Lanka"
"Worth a visit. The walls, ruins and fort are across the town, so you need to be prepared to walk and will certainly need sun cream as there’s limited shade. There are restaurants dotted around with small areas of beach to chill out and rest. The only thing I didn’t like were the men walking round with very clearly abused and traumatised monkeys on the end of ropes. To see tourists actually having pictures with them was heart breaking.",2019/04/16,Matt C,"Clitheroe, United Kingdom"
Galle fort has nice view evening much better. there are nice restaurants and hotels around the fort.,2019/04/16,Life_with_Nature,"Waikkal, Sri Lanka"
"On a hot day we walked around the walls with an occasional look into the town. It is an interesting site, good views of the sea and of the cricket ground. Need a hat sunscreen and water if you intend walking as there is little shade on the ramparts",2019/04/16,Ian M,"Mildura, Australia"
"The mixture of cultures is very absorbing, with local stores mixed with western type stores.
Lovely places to eat, and the walk round the walls was very stimulating. The views over the sea are magnificent.
You can't visit Sri Lanka without going there!",2019/04/16,susie101,Nottingham
"I have travelled a lot but Galle Fort is out of this world. It is a feast of unique things to see. The architecture, the ambience, the restaurants, the shops, the history. 
It’s a must for one’s life bucket list.",2019/04/16,The_Dresser,UK
"We came to Galle just for one night and stayed inside the fort. Our hotel was amazing (Le Jardin du Fort) and the town pleasant. All the shops sell the the same gimcracks and really inflated prices compared to most other parts of Sri Lanka. The views from the fort walls are beautiful and like all over Sri Lanka the people are really nice, friendly and helpful. If you are coming and not planning any excursions outside the fort 1 night is plenty.",2019/04/16,531VanessaD,"Calgary, Canada"
"This UNESCO site is beautiful and accessible.  Freely circumambulate the walls, popping in to enjoy the colonial decor.  Some of the city is still rebuilding/refurbishing, but most of it is in great shape.",2019/04/16,Nicole B,"Dubai, United Arab Emirates"
"Definitely worth visiting if u come to Sri Lanka.  

On a hot day, do bring some cover and lotsa water. The fort is very exposed with few trees.",2019/04/16,drlcs1,
"There's also no rocks unlike there are at Lion Rock! Do the sunrise hike, it's about £8 to get up and the walk is exciting, some of it is steps and some of it is climbing over rocks but the views at the top are...More",2019/04/16,Fourthousandweeks,"London, United Kingdom"
"Our B&B owner presented both Pidurangala Rock and Sigiriya Rock Fortress to us. 

We chose Pidurangala because:

a) It cost a fraction of the price (500 LKR per person, compared to 5,200 LKR to climb Sigiriya). 

b) We preferred the opportunity to see the view...More",2019/04/16,trb_1317,"Bangkok, Thailand"
"this rock is fabulous to climb,not for the light hearted,lots of steps and a few small nooks to crawl through,but the views at the top are well Worth the hall..",2019/04/16,Debbie J,"Lanzarote, Spain"
"If I had to choose between Pidurangala and Sigiriya rocks, I'd go with Pidurangala for 2 reasons 

1. The climb is amazing!!! The path is not very well defined and you need to climb on rocks and take risks to go on top. 
2. The...More",2019/04/16,596nehas,"Pune, India"
"My partner and I climbed to the top for sunset and were very glad we did. The climb wasn't bad at all - it gets a bit tricky on the second part of the climb so make sure you wear sensible shoes, however we did...More",2019/04/16,Bellolavita,
It’s a MUST! You have to go visit. It was quite a bit difficult if compare with Lion Rock but it’s worth to go. It was beautiful up there with incredible view. You’ll see the Lion Rock from the top of the hill. Nothing to...More,2019/04/16,Jyblada,"Bangkok, Thailand"
It takes about 30 minutes to climb and probably about 10mins to drive from the town to get to the bottom. Wear trainers as there are parts where you are climbing steep rock. At the top go left on the rocks as it’s easier and...More,2019/04/16,D6904QAtomb,"London, United Kingdom"
"bring decent shoes, water and easy to climb in clothes as there are huge boulders to climb over near the top. It is well worth the effort as you have an amazing view of Sigiriya and the surrounding forest",2019/04/16,mandysgarden,"Gisborne Region, New Zealand"
"Everyone thinks that this rock is second to Lion's rock, however the view from the top is breathtaking. Be prepared for some tricky climbing nearer to the end/top!
It is stunning as you not only get a 360 degree view of the city but also...More",2019/04/16,Hamsta666,
An easy walk with a bit of a climb at the end. Don’t forget to do the zip line. Looked fun. Be adventurous and scramble around to the second peak. The views are worth the treacherous descent and ascent.,2019/04/16,NatalieN586,"Melbourne, Australia"
"Climbing Little Adams peak was one of the activities our tour guide had organised for us whilst in Ella. Setting off early in the morning to avoid the heat we assume, it is a fairly steady walk along for a while, then a climb up some steps to the top. You do not need to be an Olympic athlete to climb this, but a certain level of fitness is required, and the last bit is quite steep; those used to walking and hiking should find it a breeze. The whole climb up and back took approx. 2 hours, but you will definitely work up a sweat doing so ! I would strongly recommend sensible footwear e.g. trainers or walking shoes, and some water !On the way up we passed some tea pickers in the fields next to the path, who were more than happy to pose for some pictures, for a small reward / LKR tip of course !Once at the top there is another good photo opportunity stood next to the small statue / shrine, and then some absolutely stunning views over the surrounding countryside and the valley below. There is a large rock ledge where everyone takes their turn to stand on or dangle their legs over the edge and take photos.On the way back down we passed the tea pickers again, who were now having some food - probably lunch since they start so early in the morning ? There was also a little coconut / drinks shack hut that had opened up on the way down, where you can buy a well deserved cold drink to cool down with.A very enjoyable way to see more of the great beauty of Sri Lanka.",2019/04/16,Colin S,"Yorkshire, United Kingdom"
"This is a short hike that isn’t challenging. It doesn’t take long, but provides incredible views. It took us 1.5 hours round trip and that included time for a couple hundred photos - yes, it’s that stunning! Go early (before 9AM) to avoid large crowds. It gets hot, so take water from the main town before you go. Sometimes there’s a man selling ice cold water - literally a massive chunk of ice in the bottle - close to the top for 120 LKR. If you see him, buy the water. It’s the coldest and most satisfying water you’ll get in Sri Lanka!!",2019/04/16,majorje,"Bedford, Canada"
"I went there early in the morning; lovely walk Stunning views! Air is fresh, peaceful and clam environment and beautiful scenery. It is waste if you miss this when you are in Ella. Well worth doing.",2019/04/16,natarambasic,"Lilydale, Australia"
Great place and amazing view. Easy to access for families and kids. I will recommend obviously to go early,2019/04/16,peoepep,
"There are two small puppies and a few dogs who apparently live on the very peak and all they eat is snacks shared by tourists. Very thirsty, there is an empty bowl for water - bring some extra bottle for them if you can or even dog food - as they can only find bread or fruit up there.",2019/04/16,Annomaly,"St. Petersburg, Russia"
Definitely go early in the morning before it gets too busy. Challenging without being too hard but you’ll certainly work up a sweat!!,2019/04/16,EJB14,"England, United Kingdom"
"There's a very delicate dynamic between the different groups of dogs/puppies up there, we saw the mother of one set almost kill a puppy belonging to a more submissive dog... Please take food and feed them in separate areas away from each other as best as you can. They're starving and desperate, so quick to fight with each other. The more vicious mother has puppies right at the top near the shrine, so make sure not to feed the others near her puppies.There is a silver water bowl so bring spare water up, if it's not around then it might be on the path to the other plateau. They're very submissive towards humans, but there's a vicious pecking order between them.",2019/04/16,WorktoTravel2,"Orillia, Canada"
"Fairly easy climb up Little Adams Peak - would recommend going up early morning to beat the heat! We went to 9 arches first, then took a track through the bush to arrive at Little Adams Peak - plenty of friendly locals around to help you out for directions if you need!Once you reach the ‘summit’ of LAP and your facing Ella rock (by the shrine) keep venturing left, along the fellow mountain ridges. Very beautiful scenery and well worth the climb!",2019/04/16,laura9753,"El Nido, Philippines"
"Little Adam’s Peak is a fairly easy hike found in Ella, Sri Lanka and is a short 20-minute walk from the center of town. Also, it’s completely FREE! The entrance is easily located on Google maps, but just in case, you can find the entrance between The Chillout Ella and the Ella Flower Garden Resort. The hike starts with a very slow ascent through a dirt path surrounded by tea fields and stunning views of the lush green valleys that shroud hill country. You’ll make your way along said path for about 15-minutes depending on your walking speed where you’ll see the staircase that leads all the way to the peak; you literally cannot miss it! The best time to climb Little Adam’s Peak would be sunrise. There aren’t many early risers, therefore you will beat the crowds if you go for sunrise. Little Adam’s Peak has a great effort to view ratio which is why tourists flock here all year round to catch glimpses of the beautiful tea country laid out below.",2019/04/16,yulneveroamalone,"Montreal, Canada"
"This is a very easy trek to do with young kids. Beautiful views. There is Zip Line on the way to the peak, which more adventurous might like to try.",2019/04/16,impermos,"Dubai, United Arab Emirates"
"It was 15-20 minutes walk up to the top. There are 3 high points you can visit. From each top, views for the sunrise are beautiful. When we visited, the sunrise time was about 6:15am so we reached to the 1st peak by 6.",2019/04/16,370yunil,"Lahore, Pakistan"
"We really enjoyed Little Adams Peak (also called Mini or Small Adams Peak).It's quite an easy walk, but make sure you choose the right shoes, because the way becomes a bit steep and its more climbing than just walking.Although our guide joined us with flip flops we were very happy we chose our trekking shoes that day.The views were absolutely beautiful.If you go early you have a greater chance of good weather.Combine the Little Adams Peak with the 9 Arches Bridge.",2019/04/16,Hannah H,Bonn
"Compared to Ella Rock this is a very easy hike, but the view is just as breathtaking (if not even more). Definitely worth a visit if you are in Ella or just passing through",2019/04/16,chilietht,Denmark
"Little Adams Peak is great if you want to go for a short hike. There are two ways to reach the steps up Little Adams Peak. You can enter at the zip line entrance or you can continue further along the road beyond the turn off for Nine Arch Bridge. We entered beyond the turn off for Nine Arch Bridge which means less of a climb up as you’re starting higher up. We then left via the other exit which brought us out closer to Ella. As well as the main Peak you can also continue further down a steep slope (with steps sort of cut into the clay bank) and up another slope to a second peak. Both peaks give excellent views of the area. If you are going to go to the second Peak it’s worthwhile taking shoes, not jandals or flip flops.",2019/04/16,Meagantravels,Christchurch
"Beautiful views .. Not a tough climb and it took us around 40 mins from the main road and we reached by 5:50 , but if you are expecting the big , orange sun you might get disappointed . Early morning is the best time to visit to see the beautiful colors of sky ..",2019/04/16,gunjant2016,"Bengaluru, India"
It is definitely worth a trip up Little Adam's peak! Though the steps heading up can be a little difficult for those who are not too fit. It is still manageable and definitely worth the effort!,2019/04/16,Rajeswary R,
